code;destination;rate
1;usa 2;0.84
1201555;usa other;1.4
1202555;usa other;1.4
1203555;usa other;1.4
1204;canada manitoba;0.56
1205555;usa other;1.4
1206555;usa other;1.4
1207555;usa other;1.4
1208555;usa other;1.4
1209555;usa other;1.4
1210555;usa other;1.4
1212555;usa new york city;1.4
1213555;usa other;1.4
1214555;usa other;1.4
1215555;usa other;1.4
1216555;usa other;1.4
1217555;usa other;1.4
1218555;usa other;1.4
1219555;usa other;1.4
1224555;usa other;1.4
1225555;usa other;1.4
1226;canada ontario;0.56
1228555;usa other;1.4
1229555;usa other;1.4
1231555;usa other;1.4
1234555;usa other;1.4
1236;canada vancouver;0.56
1239555;usa other;1.4
1240555;usa other;1.4
1242;bahamas;5.88
1246;barbados;8.68
1248555;usa other;1.4
1249;canada ontario;0.56
1250;canada victoria 2;0.56
1250232;canada victoria;5.6
1250233;canada victoria;5.6
1250234;canada victoria;5.6
1250235;canada victoria;5.6
1250237;canada victoria;5.6
1250239;canada victoria;5.6
1250321;canada victoria;5.6
1250471;canada victoria;5.6
1250500;canada victoria;5.6
1250622;canada victoria;5.6
1250624;canada victoria;5.6
1250627;canada victoria;5.6
1250771;canada victoria;5.6
1250772;canada victoria;5.6
1250773;canada victoria;5.6
1250774;canada victoria;5.6
1250775;canada victoria;5.6
1250776;canada victoria;5.6
1250778;canada victoria;5.6
1250779;canada victoria;5.6
1251555;usa other;1.4
1252555;usa other;1.4
1253555;usa other;1.4
1254555;usa other;1.4
1256555;usa other;1.4
1260555;usa other;1.4
1262555;usa other;1.4
1264;anguilla;21
1264235;anguilla mobile cable & wireless;10.64
1264469;anguilla mobile;10.64
1264476;anguilla mobile cable & wireless;10.64
1264536;anguilla mobile weblinks;10.64
1264537;anguilla mobile weblinks;10.64
1264538;anguilla mobile weblinks;10.64
1264539;anguilla mobile weblinks;10.64
1264543;anguilla mobile;10.64
1264581;anguilla mobile at&t;10.64
1264582;anguilla mobile at&t;10.64
1264583;anguilla mobile at&t;10.64
1264584;anguilla mobile at&t;10.64
